序号,task_id,model,prompt,vendor,domain,level,得分,未命中,标签,题目,参考答案,模型输出(归一化前),模型命令,未命中的检查点,verdict,判定理由,人工复核
1,cs_acl_017,qwen2.5-coder:7b,few_shot,cisco,acl,2,0.25,c2|c3,E3_MISS,配置标准 ACL 10，拒绝源网段 192.168.1.0/24，放行其余所有流量。,configure terminal / access-list 10 deny 192.168.1.0 0.0.0.255 / access-list 10 permit any,"```
configure terminal
access-list 10 deny ip 192.168.1.0 0.0.0.255 any
access-list 10 permit ip any any
```",configure terminal / access-list 10 deny ip 192.168.1.0 0.0.0.255 any / access-list 10 permit ip any any,c2: ^(access-list 10 )?deny 192\.168\.1\.0 0\.0\.0\.255$ ⏎ c3: ^(access-list 10 )?permit any$,模型真错,标准ACL(1-99)不能用扩展语法 deny ip ... any；permit ip any any 在标准ACL上非法,
2,cs_vlan_011,qwen2.5:1.5b,zero_shot,cisco,vlan,1,0.5,c1|c2,E3_MISS,创建 VLAN 30 并命名为 guest。,configure terminal / vlan 30 / name guest,"```shell
switchport mode access
switchport access vlan 30
name guest
```",switchport mode access / switchport access vlan 30 / name guest,c1: ^configure terminal$ ⏎ c2: ^vlan 30$,模型真错,完全没创建 VLAN，直接配 switchport,
3,cs_vlan_044,qwen2.5-coder:7b,zero_shot,cisco,vlan,2,0.5,c3,E3_MISS,在已配置为 trunk 的 GigabitEthernet0/12 上，把 VLAN 20 从放行列表中移除。,configure terminal / interface GigabitEthernet0/12 / switchport trunk allowed vlan remove 20,"```
configure terminal
interface GigabitEthernet0/12
no switchport trunk allowed-vlan 20
end
```",configure terminal / interface GigabitEthernet0/12 / no switchport trunk allowed-vlan 20 / end,c3: ^switchport trunk allowed vlan remove 20$,模型真错,no switchport trunk allowed-vlan 20 是恢复默认(全放行)，不是移除单个；且 allowed-vlan 无此写法,
4,hw_mpls_048,qwen2.5:7b,zero_shot,huawei,mpls,2,0.0,c1|c2|c3|c4|c5,E1_HALLUC|E3_MISS,创建 VPN 实例 VPNA，配置 RD 为 100:1，入方向和出方向的 VPN Target 均为 100:1。,system-view / ip vpn-instance VPNA / ipv4-family / route-distinguisher 100:1 / vpn-target 100:1 both,"```markdown
[vpn-instance VPNA]
rd 100:1
target 100:1 export
target 100:1 import
```",[vpn-instance VPNA] / rd 100:1 / target 100:1 export / target 100:1 import,c1: ^system-view$ ⏎ c2: ^ip vpn-instance vpna$ ⏎ c3: ^ipv4-family$ ⏎ c4: ^route-distinguisher 100:1$ ⏎ c5: ^vpn-target 100:1 both$,模型真错,rd/target 是思科 VRF 语法，华为为 route-distinguisher/vpn-target；vpn-instance 也缺 ip 前缀,
5,hw_route_038,qwen2.5:3b,few_shot,huawei,routing,2,0.5,c3,E0_FORMAT|E2_VENDOR|E3_MISS,把 GigabitEthernet0/0/1 的 OSPF 接口开销值设为 100。,system-view / interface GigabitEthernet0/0/1 / ospf cost 100,"system-view
ospf 1
network 192.168.1.0 0.0.255.255 area 0
quit
interface GigabitEthernet0/0/1
ip ospf cost 100",system-view / ospf 1 / network 192.168.1.0 0.0.255.255 area 0 / quit / interface GigabitEthernet0/0/1 / ip ospf cost 100,c3: ^ospf cost 100$,模型真错,ip ospf cost 是思科语法，华为为 ospf cost,
6,hw_iface_028,qwen2.5:3b,zero_shot,huawei,interface,1,0.0,c1|c2|c3,E3_MISS,清除 GigabitEthernet0/0/8 上已配置的接口描述，恢复为默认。,system-view / interface GigabitEthernet0/0/8 / undo description,"```
undo interface gigabitethernet 0/0/8 description
```",undo interface gigabitethernet 0/0/8 description,c1: ^system-view$ ⏎ c2: ^interface gigabitethernet0/0/8$ ⏎ c3: ^undo description$,模型真错,undo interface X description 语法不存在，须先进接口视图,
7,hw_diag_066,deepseek-r1:8b,syntax_hint,huawei,diagnose,3,0.6667,c2,E3_MISS,OSPF 邻居状态正常但学不到对端路由，请给出定位该问题最关键的三条查看命令。,display ospf routing / display ip routing-table protocol ospf / display ospf lsdb,"```shell
display ospf error
display ospf lsdb
display ospf routing
```",display ospf error / display ospf lsdb / display ospf routing,c2: ^display ip routing-table,模型真错,三条全在 OSPF 内部视角，未查 IP 路由表这一关键方向,
8,cs_acl_017,qwen2.5:3b,zero_shot,cisco,acl,2,0.0,c1|c2|c3,E3_MISS,配置标准 ACL 10，拒绝源网段 192.168.1.0/24，放行其余所有流量。,configure terminal / access-list 10 deny 192.168.1.0 0.0.0.255 / access-list 10 permit any,"```
access-list 10 deny ip any 192.168.1.0 0.0.0.255
access-list 10 permit ip any any
```",access-list 10 deny ip any 192.168.1.0 0.0.0.255 / access-list 10 permit ip any any,c1: ^configure terminal$ ⏎ c2: ^(access-list 10 )?deny 192\.168\.1\.0 0\.0\.0\.255$ ⏎ c3: ^(access-list 10 )?permit any$,模型真错,源目颠倒，且标准ACL用了扩展语法,
9,cs_acl_006,qwen2.5:1.5b,syntax_hint,cisco,acl,2,0.0,c1|c2|c3,E3_MISS,配置扩展 ACL 100，拒绝主机 192.168.1.10 访问服务器 10.0.0.5 的 80 端口，其余流量全部放行。,configure terminal / access-list 100 deny tcp host 192.168.1.10 host 10.0.0.5 eq 80 / access-list 100 permit ip any any,"```shell
access-list extended ACL_100 deny tcp any any eq www
access-list extended ACL_100 permit ip any any
ip access-group ACL_100 out
```",access-list extended ACL_100 deny tcp any any eq www / access-list extended ACL_100 permit ip any any / ip access-group ACL_100 out,c1: ^(access-list 100\b|ip access-list extended 100$) ⏎ c2: ^(access-list 100 )?deny tcp host 192\.168\.1\.10 host 10\.0\.0\.5 eq (80|www)$ ⏎ c3: ^(access-list 100 )?permit ip any any$,模型真错,access-list extended 语法错误(应为 ip access-list extended)，且未指定主机,
10,hw_vlan_005,qwen2.5-coder:7b,zero_shot,huawei,vlan,2,0.5556,c3|c4,E3_MISS,把 GigabitEthernet0/0/24 配置为 trunk 口，允许 VLAN 10 和 VLAN 20 通过。,system-view / interface GigabitEthernet0/0/24 / port link-type trunk / port trunk allow-pass vlan 10 20,"```markdown
interface GigabitEthernet0/0/24
port link-type trunk
port trunk permit vlan 10 20
```",interface GigabitEthernet0/0/24 / port link-type trunk / port trunk permit vlan 10 20,c3: ^port trunk allow-pass vlan .*\b10\b ⏎ c4: ^port trunk allow-pass vlan .*\b20\b,模型真错,port trunk permit vlan 是 H3C 语法，华为为 allow-pass,
